WFO,GS12,GS13
La Crosse,86962,103409
Anchorage,86962,103409
Fairbanks,86962,103409
Juneau,86962,103409
Aberdeen,86962,103409
Gaylord,86962,103409
Bismarck,86962,103409
Denver,96684,114970
Cheyenne,86962,103409
Dodge City,86962,103409
Duluth,86962,103409
Des Moines,87602,104170
Detroit/Pontiac,95895,114031
Quad Cities,88332,105038
Kansas City/Pleasant Hill,88324,105029
Grand Forks,86962,103409
Sioux Falls,86962,103409
Hastings,86962,103409
Grand Junction,86962,103409
Goodland,86962,103409
Green Bay,86962,103409
Grand Rapids,86962,103409
Wichita,86962,103409
Lincoln,86962,103409
Indianapolis,87758,104356
Northern Indiana,86962,103409
Jackson,86962,103409
North Platte,86962,103409
Louisville,86962,103409
Chicago,97079,115439
St Louis,89054,105896
Milwaukee/Sullivan,90930,108127
Twin Cities/Chanhassen,94652,112553
Marquette,86962,103409
Omaha/Valley,87796,104400
Paducah,86962,103409
Pueblo,86962,103409
Riverton,86962,103409
Springfield,86962,103409
Topeka,86962,103409
Rapid City,86962,103409
Wakefield,88183,104861
Albany,89515,106445
Binghamton,86962,103409
Taunton,98240,116820
Burlington,88562,105312
Buffalo,90811,107986
Columbia,86962,103409
Caribou,86962,103409
Charleston,86962,103409
Cleveland,90825,108003
State College,86962,103409
Greenville-Spartanburg,86962,103409
PortlandME,86962,103409
WilmingtonNC,86962,103409
WilmingtonOH,90587,107720
Baltimore MD/Washington,99200,117962
Newport/Morehead City,86962,103409
Upton,102163,121485
Pittsburgh,89910,106914
Mount Holly,95694,113792
Raleigh,90744,107906
Charleston,86962,103409
Blacksburg,86962,103409
Tiyan,86962,103409
Honolulu,86962,103409
Pago Pago,86962,103409
Albuquerque,87878,104498
Amarillo,86962,103409
Birmingham,87773,104374
Brownsville,86962,103409
Corpus Christi,87394,103992
El Paso TX/Santa Teresa NM,86962,103409
Austin/San Antonio,88205,104887
Peachtree City,91897,109278
Fort Worth,94473,112341
Houston/Galveston,100287,119254
Huntsville,90431,107534
Jackson,86962,103409
Jacksonville,86962,103409
Key West,86962,103409
Lake Charles,86962,103409
New Orleans,86962,103409
Lubbock,86962,103409
Little Rock,86962,103409
Midland/Odessa,86962,103409
Memphis,86962,103409
Miami,92619,110137
Melbourne,87543,104100
Mobile,86962,103409
Morristown,86962,103409
Nashville,86962,103409
Norman,86962,103409
Shreveport,86962,103409
San Angelo,86962,103409
San Juan,86962,103409
Tallahassee,86962,103409
Tampa Bay Ruskin,86962,103409
Tulsa,86962,103409
Boise,86962,103409
Billings,86962,103409
Eureka,86962,103409
Flagstaff,86962,103409
Glasgow,86962,103409
Hanford,87208,103701
Elko,86962,103409
Los Angeles/Oxnard,101121,120246
Medford,86962,103409
Missoula,86962,103409
San Francisco,108245,128717
Spokane,87230,103728
Pendleton,86962,103409
Pocatello,86962,103409
PortlandOR,93543,111234
Phoenix,90833,108012
Reno,87178,103667
Seattle,97376,115793
San Diego,99044,117776
Salt Lake City,86962,103409
Sacramento,96148,114332
Great Falls,86962,103409
Tucson,88525,105268
Las Vegas,88756,105542
