WFO,City,State
La Crosse,La Crosse,Wisconsin
Anchorage,Anchorage,Alaska
Fairbanks,Fairbanks,Alaska
Juneau,Juneau,Alaska
Aberdeen,Aberdeen,South Dakota
Gaylord,Gaylord,Michigan
Bismarck,Bismarck,North Dakota
Denver,Denver,Colorado
Cheyenne,Cheyenne,Wyoming
Dodge City,Dodge City,Kansas
Duluth,Duluth,Minnesota
Des Moines,Des Moines,Iowa
Detroit/Pontiac,Pontiac,Michigan
Quad Cities,Davenport,Iowa
Kansas City/Pleasant Hill,Pleasant Hill,Missouri
Grand Forks,Grand Forks,North Dakota
Sioux Falls,Sioux Falls,South Dakota
Hastings,Hastings,Nebraska
Grand Junction,Grand Junction,Colorado
Goodland,Goodland,Kansas
Green Bay,Green Bay,Wisconsin
Grand Rapids,Grand Rapids,Michigan
Wichita,Wichita,Kansas
Lincoln,Lincoln,Illinois
Indianapolis,Indianapolis,Indiana
Northern Indiana,Syracuse,Indiana
Jackson,Jackson,Kentucky
North Platte,North Platte,Nebraska
Louisville,Louisville,Kentucky
Chicago,Chicago,Illinois
St Louis,St. Louis,Missouri
Milwaukee/Sullivan,Sullivan,Wisconsin
Twin Cities/Chanhassen,Chanhassen,Minnesota
Marquette,Marquette,Michigan
Omaha/Valley,Valley,Nebraska
Paducah,Paducah,Kentucky
Pueblo,Pueblo,Colorado
Riverton,Riverton,Wyoming
Springfield,Springfield,Missouri
Topeka,Topeka,Kansas
Rapid City,Rapid City,South Dakota
Wakefield,Wakefield,Virginia
Albany,Albany,New York
Binghamton,Binghamton,New York
Taunton,Taunton,Massachusetts
Burlington,Burlington,Vermont
Buffalo,Buffalo,New York
Columbia,Columbia,South Carolina
Caribou,Caribou,Maine
Charleston,Charleston,South Carolina
Cleveland,Cleveland,Ohio
State College,State College,Pennsylvania
Greenville-Spartanburg,Greer,South Carolina
Portland,Gray,Maine
Wilmington,Wilmington,North Carolina
Wilmington,Wilmington,Ohio
Baltimore MD/Washington,Sterling,Virginia
Newport/Morehead City,Newport,North Carolina
Upton,Upton,New York
Pittsburgh,Pittsburgh,Pennsylvania
Mount Holly,Mount Holly,New Jersey
Raleigh,Raleigh,North Carolina
Charleston,Charleston,West Virginia
Blacksburg,Blacksburg,Virginia
Tiyan,Tiyan,Guam
Honolulu,Honolulu,Hawaii
Pago Pago,Pago Pago,American Samoa
Albuquerque,Albuquerque,New Mexico
Amarillo,Amarillo,Texas
Birmingham,Birmingham,Alabama
Brownsville,Brownsville,Texas
Corpus Christi,Corpus Christi,Texas
El Paso TX/Santa Teresa NM,El Paso,Texas
Austin/San Antonio,New Braunfels,Texas
Peachtree City,Atlanta,Georgia
Fort Worth,Fort Worth,Texas
Houston/Galveston,Dickinson,Texas
Huntsville,Huntsville,Alabama
Jackson,Jackson,Mississippi
Jacksonville,Jacksonville,Florida
Key West,Key West,Florida
Lake Charles,Lake Charles,Louisiana
New Orleans,New Orleans,Louisiana
Lubbock,Lubbock,Texas
Little Rock,Little Rock,Arkansas
Midland/Odessa,Midland,Texas
Memphis,Memphis,Tennessee
Miami,Miami,Florida
Melbourne,Melbourne,Florida
Mobile,Mobile,Alabama
Morristown,Morristown,Tennessee
Nashville,Nashville,Tennessee
Norman,Norman,Oklahoma
Shreveport,Shreveport,Louisiana
San Angelo,San Angelo,Texas
San Juan,San Juan,Puerto Rico
Tallahassee,Tallahassee,Florida
Tampa Bay Ruskin,Tampa Bay,Florida
Tulsa,Tulsa,Oklahoma
Boise,Boise,Idaho
Billings,Billings,Montana
Eureka,Eureka,California
Flagstaff,Flagstaff,Arizona
Glasgow,Glasgow,Montana
Hanford,Hanford,California
Elko,Elko,Nevada
Los Angeles/Oxnard,Oxnard,California
Medford,Medford,Oregon
Missoula,Missoula,Montana
San Francisco,Monterey,California
Spokane,Spokane,Washington
Pendleton,Pendleton,Oregon
Pocatello,Pocatello,Idaho
Portland,Portland,Oregon
Phoenix,Phoenix,Arizona
Reno,Reno,Nevada
Seattle,Seattle,Washington
San Diego,San Diego,California
Salt Lake City,Salt Lake City,Utah
Sacramento,Sacramento,California
Great Falls,Great Falls,Montana
Tucson,Tucson,Arizona
Las Vegas,Las Vegas,Nevada
